474

1 10 14 21 27 33 41 43 51 59 
2 7 15 22 28 31 37 47 51 57 
2 9 13 20 28 33 38 45 50 55 
1 11 12 21 29 31 40 43 49 55 
3 6 16 22 29 35 41 42 52 55 
0 10 17 19 27 31 36 44 48 55 
5 7 15 21 24 33 39 46 52 59 
5 8 16 18 27 34 38 45 52 58 
5 6 14 21 28 31 40 44 48 55 
3 7 17 19 27 32 40 47 48 59 
2 7 13 18 24 32 41 46 53 56 
1 7 16 21 28 34 36 47 53 54 
4 11 13 23 26 32 40 47 52 59 
5 6 15 21 25 31 39 42 49 58 
